Timestamp,Elapsed(s),Power(W)
21:39:51,116.1,64.99
21:39:52,117.1,65.03
21:39:53,118.1,64.99
21:39:54,119.1,65.02
21:39:55,120.1,65.02
21:39:56,121.1,65.01
21:39:57,122.1,64.98
21:39:58,123.1,65.04
21:39:59,124.1,65.09
21:40:00,125.1,64.95
21:40:01,126.1,65.00
21:40:02,127.1,64.96
21:40:03,128.1,65.03
21:40:04,129.1,65.08
21:40:05,130.1,64.99
21:40:06,131.1,64.98
21:40:07,132.2,65.03
21:40:08,133.2,64.97
21:40:09,134.2,65.02
21:40:10,135.2,65.02
21:40:11,136.2,65.04
21:40:12,137.2,64.98
21:40:13,138.2,65.02
21:40:14,139.2,65.04
21:40:15,140.2,64.93
21:40:16,141.2,65.06
21:40:17,142.2,65.01
21:40:18,143.2,65.04
21:40:19,144.2,64.99
21:40:20,145.2,64.95
21:40:21,146.2,65.01
21:40:22,147.2,65.03
21:40:23,148.2,65.04
21:40:24,149.2,65.05
21:40:25,150.2,64.92
21:40:26,151.2,65.02
21:40:27,152.2,65.04
21:40:28,153.2,65.04
21:40:29,154.2,64.87
21:40:30,155.2,65.13
21:40:31,156.2,65.07
21:40:32,157.2,64.94
21:40:33,158.2,64.99
21:40:34,159.2,64.97
21:40:35,160.2,65.01
21:40:36,161.2,65.06
21:40:37,162.2,65.04
21:40:38,163.2,64.98
21:40:39,164.2,64.98
21:40:40,165.2,64.99
21:40:41,166.2,65.04
21:40:42,167.2,65.09
21:40:43,168.2,64.90
21:40:44,169.2,64.99
21:40:45,170.2,65.03
21:40:46,171.2,65.02
21:40:47,172.2,65.03
21:40:48,173.2,64.98
21:40:49,174.2,65.03
21:40:50,175.2,64.95
21:40:51,176.2,65.05
21:40:52,177.2,65.02
21:40:53,178.2,65.00
21:40:54,179.2,64.95
21:40:55,180.2,65.01
21:40:56,181.2,65.00
21:40:57,182.2,65.01
21:40:58,183.2,65.03
21:40:59,184.2,64.95
21:41:00,185.2,65.06
21:41:01,186.2,64.97
21:41:02,187.2,65.05
21:41:03,188.2,64.99
21:41:04,189.2,64.96
21:41:05,190.2,65.09
21:41:06,191.2,64.94
21:41:07,192.2,64.99
21:41:08,193.2,65.00
21:41:09,194.2,64.98
21:41:10,195.2,65.06
21:41:11,196.2,65.04
21:41:12,197.2,64.99
21:41:13,198.2,64.99
21:41:14,199.2,64.91
21:41:15,200.2,65.12
21:41:16,201.2,65.03
21:41:17,202.2,64.95
21:41:18,203.2,65.00
21:41:19,204.2,64.98
21:41:20,205.2,65.04
21:41:21,206.2,65.01
21:41:22,207.2,64.99
21:41:23,208.2,64.98
21:41:24,209.2,64.99
21:41:25,210.2,65.05
21:41:26,211.2,65.10
21:41:27,212.2,64.95
21:41:28,213.2,64.96
21:41:29,214.2,64.97
21:41:30,215.2,65.04
21:41:31,216.2,65.01
21:41:32,217.2,65.01
21:41:33,218.2,65.01
21:41:34,219.2,64.98
21:41:35,220.3,64.96
21:41:36,221.3,65.01
21:41:37,222.3,65.04
21:41:38,223.3,65.01
21:41:39,224.3,64.95
21:41:40,225.3,65.07
21:41:41,226.3,64.99
21:41:42,227.3,65.02
21:41:43,228.3,65.05
21:41:44,229.3,64.89
21:41:45,230.3,65.06
21:41:46,231.3,64.99
21:41:47,232.3,65.01
21:41:48,233.3,65.01
21:41:49,234.3,64.96
21:41:50,235.3,65.01
21:41:51,236.3,65.01
21:41:52,237.3,64.99
21:41:53,238.3,65.04
21:41:54,239.3,65.08
21:41:55,240.3,64.93
21:41:56,241.3,65.02
21:41:57,242.3,64.99
21:41:58,243.3,65.06
21:41:59,244.3,64.95
21:42:00,245.3,64.97
21:42:01,246.3,64.99
21:42:02,247.3,65.02
21:42:03,248.3,65.03
21:42:04,249.3,65.04
21:42:05,250.3,65.00
21:42:06,251.3,64.86
21:42:07,252.3,65.03
21:42:08,253.3,65.05
21:42:09,254.3,65.05
21:42:10,255.3,65.02
21:42:11,256.3,64.90
21:42:12,257.3,65.00
21:42:13,258.3,65.06
21:42:14,259.3,65.11
21:42:15,260.3,64.91
21:42:16,261.3,65.03
21:42:17,262.3,64.90
21:42:18,263.3,65.05
21:42:19,264.3,65.03
21:42:20,265.3,64.99
21:42:21,266.3,65.09
21:42:22,267.3,64.88
21:42:23,268.3,65.04
21:42:24,269.3,65.01
21:42:25,270.3,64.99
21:42:26,271.3,65.02
21:42:27,272.3,64.94
21:42:28,273.3,65.01
21:42:29,274.3,65.05
21:42:30,275.3,64.97
21:42:31,276.3,65.11
21:42:32,277.3,64.93
21:42:33,278.3,65.04
21:42:34,279.3,64.97
21:42:35,280.3,65.06
21:42:36,281.3,65.01
21:42:37,282.3,64.88
21:42:38,283.3,65.02
21:42:39,284.3,65.01
21:42:40,285.3,64.98
21:42:41,286.3,65.13
21:42:42,287.3,64.91
21:42:43,288.3,65.01
21:42:44,289.3,64.95
21:42:45,290.3,65.00
21:42:46,291.3,65.02
21:42:47,292.3,65.01
21:42:48,293.3,65.02
21:42:49,294.3,65.00
21:42:50,295.3,64.99
21:42:51,296.3,64.98
21:42:52,297.3,65.08
21:42:53,298.3,64.97
21:42:54,299.3,65.01
21:42:55,300.3,64.98
